Date,Name,Role,Projects_Finished,Real_Time_Projects,Internship,Educational_Background,Applied Jobs,Getting Interview call,Placement_Statistics (%),Rejection_Reasons,City
10/19/2024,Candidate_594,Data Analyst,1,No,No,B.Tech,160,58.17,44.95,Communication issues,Bangalore
5/4/2024,Candidate_595,Python Fullstack Developer,4,Yes,Yes,B.Tech,163,76.32,79.76,Lack of skills,Chennai
11/18/2024,Candidate_596,QA Engineer,3,No,Yes,B.Tech,225,75.48,76.28,No experience,Chennai
9/13/2024,Candidate_597,Python Fullstack Developer,12,Yes,No,B.Tech,244,31.09,48.55,Lack of skills,Hyderabad
4/11/2024,Candidate_598,QA Engineer,5,Yes,No,B.Tech,220,23.87,57.63,Communication issues,Bangalore
1/4/2024,Candidate_599,Python Fullstack Developer,0,No,No,B.Tech,104,36.07,85.52,No experience,Bangalore
12/12/2024,Candidate_600,DevOps Engineer,15,Yes,No,MCA,180,22.82,79.28,Lack of skills,Hyderabad
2/1/2024,Candidate_601,Data Analyst,2,No,No,M.Tech,230,27.34,66.11,High competition,Bangalore
9/20/2024,Candidate_602,QA Engineer,0,No,No,B.Tech,124,43.5,85.49,No experience,Hyderabad
6/27/2024,Candidate_603,QA Engineer,0,No,Yes,BCA,198,70.09,76.14,Lack of skills,Hyderabad
10/4/2024,Candidate_604,Data Analyst,5,Yes,Yes,MCA,292,27.46,74.32,Communication issues,Chennai
9/9/2024,Candidate_605,Data Analyst,2,No,Yes,BCA,137,53.35,68.28,Communication issues,Chennai
8/24/2024,Candidate_606,Data Analyst,9,Yes,No,MCA,259,51.76,61.69,Lack of skills,Chennai
6/28/2024,Candidate_607,Data Analyst,13,Yes,No,MCA,182,20.3,78.64,High competition,Hyderabad
10/17/2024,Candidate_608,Data Analyst,15,Yes,No,B.Tech,120,57.53,65.16,Lack of skills,Bangalore
2/4/2024,Candidate_609,Python Fullstack Developer,4,Yes,Yes,M.Tech,235,35.52,50.57,Lack of skills,Bangalore
3/22/2024,Candidate_610,DevOps Engineer,6,Yes,No,B.Tech,225,71.42,58.57,No experience,Hyderabad
9/10/2024,Candidate_611,AI/ML Engineer,4,Yes,No,MCA,218,30.65,67.51,Lack of skills,Chennai
4/22/2024,Candidate_612,Python Fullstack Developer,8,Yes,Yes,B.Tech,254,76.91,44.08,No experience,Bangalore
7/31/2024,Candidate_613,Python Fullstack Developer,14,Yes,No,B.Tech,286,49.91,69.43,Communication issues,Bangalore
6/22/2024,Candidate_614,Python Fullstack Developer,13,Yes,Yes,B.Tech,168,75.85,55.65,No experience,Bangalore
7/13/2024,Candidate_615,Python Fullstack Developer,7,Yes,Yes,B.Tech,117,50.94,77.48,High competition,Chennai
6/4/2024,Candidate_616,Data Analyst,5,Yes,No,B.Tech,215,42.69,74.51,Lack of skills,Bangalore
9/30/2024,Candidate_617,Python Fullstack Developer,1,No,No,M.Tech,199,65.83,63.52,Lack of skills,Chennai
5/1/2024,Candidate_618,AI/ML Engineer,5,Yes,Yes,B.Tech,299,51.7,75.2,Lack of skills,Hyderabad
9/14/2024,Candidate_619,QA Engineer,15,Yes,No,M.Tech,149,23.85,44.71,High competition,Bangalore
4/9/2024,Candidate_620,QA Engineer,2,No,Yes,B.Tech,297,36.07,67.8,Lack of skills,Hyderabad
4/2/2024,Candidate_621,Python Fullstack Developer,9,Yes,No,BCA,170,29.29,42.22,High competition,Bangalore
2/14/2024,Candidate_622,Data Analyst,11,Yes,Yes,M.Tech,282,23.93,42.52,No experience,Bangalore
3/11/2024,Candidate_623,Data Analyst,13,Yes,Yes,B.Tech,136,61.8,89.62,Lack of skills,Bangalore
2/13/2024,Candidate_624,Python Fullstack Developer,0,No,Yes,B.Tech,193,57.14,56.98,Lack of skills,Chennai
7/15/2024,Candidate_625,Data Analyst,7,Yes,No,MCA,299,37.71,51.82,No experience,Hyderabad
10/5/2024,Candidate_626,Python Fullstack Developer,6,Yes,No,M.Tech,115,30.25,66.75,Communication issues,Bangalore
3/8/2024,Candidate_627,Data Analyst,3,No,No,MCA,221,54.29,80.41,No experience,Bangalore
3/20/2024,Candidate_628,Python Fullstack Developer,3,No,No,MCA,163,60.17,70.19,No experience,Bangalore
6/26/2024,Candidate_629,Python Fullstack Developer,11,Yes,No,B.Tech,157,63.83,50.8,No experience,Bangalore
9/22/2024,Candidate_630,Data Analyst,7,Yes,No,B.Tech,262,44.46,67.37,No experience,Bangalore
12/23/2024,Candidate_631,Data Analyst,14,Yes,No,B.Tech,100,29.52,58.77,Communication issues,Bangalore
7/11/2024,Candidate_632,Data Analyst,6,Yes,Yes,MCA,183,34.56,87.13,Lack of skills,Chennai
4/13/2024,Candidate_633,Python Fullstack Developer,8,Yes,No,MCA,191,45.19,65.43,No experience,Bangalore
2/6/2024,Candidate_634,Python Fullstack Developer,1,No,Yes,B.Tech,258,63.02,69.09,Lack of skills,Bangalore
3/12/2024,Candidate_635,Data Analyst,6,Yes,Yes,M.Tech,223,42.1,84.96,High competition,Hyderabad
3/24/2024,Candidate_636,DevOps Engineer,3,No,No,M.Tech,243,63.51,80.19,Communication issues,Chennai
3/6/2024,Candidate_637,Data Analyst,4,Yes,No,MCA,137,51.7,53.81,High competition,Bangalore
1/6/2024,Candidate_638,Data Analyst,15,Yes,Yes,B.Tech,300,32.83,88.07,No experience,Chennai
7/14/2024,Candidate_639,AI/ML Engineer,15,Yes,Yes,B.Tech,169,38.58,55.55,No experience,Hyderabad
4/10/2024,Candidate_640,QA Engineer,5,Yes,No,M.Tech,181,66.7,42.67,Communication issues,Chennai
12/22/2024,Candidate_641,DevOps Engineer,5,Yes,No,B.Tech,224,24.93,44.8,Lack of skills,Chennai
7/21/2024,Candidate_642,Data Analyst,1,No,No,B.Tech,180,72.41,65.7,No experience,Bangalore
9/12/2024,Candidate_643,DevOps Engineer,1,No,No,BCA,254,69.32,48.41,Lack of skills,Bangalore
2/16/2024,Candidate_644,Data Analyst,11,Yes,No,B.Tech,237,37.5,77.7,No experience,Chennai
11/13/2024,Candidate_645,Data Analyst,9,Yes,No,B.Tech,151,78.93,48.13,Communication issues,Bangalore
6/28/2024,Candidate_646,Python Fullstack Developer,6,Yes,Yes,B.Tech,265,43.39,42.7,No experience,Bangalore
11/15/2024,Candidate_647,Python Fullstack Developer,13,Yes,Yes,M.Tech,148,41.28,67.56,Communication issues,Bangalore
7/29/2024,Candidate_648,Data Analyst,8,Yes,Yes,MCA,252,65.02,70.75,Lack of skills,Bangalore
6/20/2024,Candidate_649,DevOps Engineer,10,Yes,Yes,MCA,254,65.46,66.83,Lack of skills,Chennai
6/10/2024,Candidate_650,Data Analyst,14,Yes,Yes,BCA,130,71.98,71.26,Lack of skills,Bangalore
3/8/2024,Candidate_651,QA Engineer,1,No,Yes,B.Tech,175,22.54,81.93,Lack of skills,Bangalore
1/19/2024,Candidate_652,Python Fullstack Developer,3,No,No,B.Tech,287,44.2,51.43,Lack of skills,Hyderabad
12/10/2024,Candidate_653,DevOps Engineer,1,No,Yes,B.Tech,115,33.74,73.12,No experience,Chennai
6/23/2024,Candidate_654,Data Analyst,5,Yes,No,B.Tech,288,60.55,47.77,Lack of skills,Chennai
10/27/2024,Candidate_655,Python Fullstack Developer,5,Yes,No,M.Tech,149,40.4,52.6,No experience,Bangalore
5/26/2024,Candidate_656,Python Fullstack Developer,0,No,Yes,B.Tech,234,60.99,53.87,Communication issues,Bangalore
1/28/2024,Candidate_657,Data Analyst,15,Yes,Yes,B.Tech,229,37.63,64.36,Lack of skills,Bangalore
8/18/2024,Candidate_658,Data Analyst,3,No,Yes,MCA,172,77.55,53.94,High competition,Bangalore
1/20/2024,Candidate_659,DevOps Engineer,2,No,No,B.Tech,163,74.69,50.57,No experience,Hyderabad
2/24/2024,Candidate_660,AI/ML Engineer,7,Yes,Yes,MCA,196,21.4,46.58,No experience,Chennai
7/24/2024,Candidate_661,AI/ML Engineer,14,Yes,No,B.Tech,208,25.08,77.47,Communication issues,Bangalore
4/21/2024,Candidate_662,DevOps Engineer,10,Yes,Yes,M.Tech,279,42.64,66.25,No experience,Hyderabad
12/29/2024,Candidate_663,DevOps Engineer,13,Yes,Yes,M.Tech,102,44.67,45.49,Lack of skills,Bangalore
2/13/2024,Candidate_664,Python Fullstack Developer,6,Yes,Yes,B.Tech,176,36.79,61.07,Lack of skills,Bangalore
10/6/2024,Candidate_665,Data Analyst,10,Yes,No,MCA,166,37.44,87.67,No experience,Bangalore
8/9/2024,Candidate_666,Data Analyst,7,Yes,No,B.Tech,152,54.54,58,Communication issues,Hyderabad
10/16/2024,Candidate_667,Python Fullstack Developer,3,No,No,B.Tech,136,68.88,70.12,Communication issues,Hyderabad
3/23/2024,Candidate_668,Data Analyst,10,Yes,Yes,B.Tech,175,50.31,49.81,No experience,Bangalore
7/10/2024,Candidate_669,DevOps Engineer,7,Yes,No,BCA,106,75.08,40.51,High competition,Bangalore
6/13/2024,Candidate_670,DevOps Engineer,3,No,No,MCA,107,66.32,46.33,Lack of skills,Chennai
6/11/2024,Candidate_671,Data Analyst,7,Yes,Yes,MCA,266,63.85,71.37,Lack of skills,Bangalore
11/10/2024,Candidate_672,Data Analyst,13,Yes,Yes,B.Tech,264,42.1,40.65,No experience,Chennai
12/28/2024,Candidate_673,DevOps Engineer,6,Yes,No,B.Tech,295,53.37,41.81,Lack of skills,Bangalore
4/21/2024,Candidate_674,DevOps Engineer,12,Yes,Yes,MCA,207,50.06,50.39,No experience,Bangalore
8/15/2024,Candidate_675,Data Analyst,7,Yes,No,M.Tech,120,30.71,42.54,High competition,Bangalore
8/11/2024,Candidate_676,Python Fullstack Developer,2,No,Yes,B.Tech,194,78.94,86.86,Lack of skills,Bangalore
9/27/2024,Candidate_677,QA Engineer,15,Yes,Yes,B.Tech,219,39.89,74.79,Communication issues,Bangalore
12/12/2024,Candidate_678,AI/ML Engineer,15,Yes,No,M.Tech,298,78.35,50.95,No experience,Hyderabad
3/17/2024,Candidate_679,Data Analyst,1,No,Yes,MCA,137,47.94,46.56,Communication issues,Chennai
3/18/2024,Candidate_680,DevOps Engineer,13,Yes,Yes,BCA,214,69.91,75.85,No experience,Bangalore
8/29/2024,Candidate_681,Python Fullstack Developer,4,Yes,No,B.Tech,260,23.69,64.9,High competition,Hyderabad
2/27/2024,Candidate_682,Python Fullstack Developer,6,Yes,No,M.Tech,197,61.3,82.52,Lack of skills,Hyderabad
3/4/2024,Candidate_683,Data Analyst,14,Yes,No,B.Tech,242,22.25,46.36,No experience,Chennai
1/28/2024,Candidate_684,Data Analyst,5,Yes,Yes,B.Tech,140,61.21,83.79,Lack of skills,Hyderabad
1/1/2024,Candidate_685,Data Analyst,12,Yes,Yes,B.Tech,252,23.45,52.18,Lack of skills,Hyderabad
6/13/2024,Candidate_686,Python Fullstack Developer,11,Yes,No,MCA,213,71.18,75.89,Lack of skills,Hyderabad
8/5/2024,Candidate_687,Data Analyst,4,Yes,No,BCA,294,34.33,42.07,Lack of skills,Chennai
4/16/2024,Candidate_688,DevOps Engineer,14,Yes,Yes,BCA,180,74.99,78.84,No experience,Hyderabad
3/25/2024,Candidate_689,Python Fullstack Developer,6,Yes,No,B.Tech,127,32.54,46.53,No experience,Hyderabad
9/15/2024,Candidate_690,Data Analyst,11,Yes,No,MCA,170,65.9,44.68,Communication issues,Hyderabad
9/14/2024,Candidate_691,Data Analyst,8,Yes,No,B.Tech,216,41.3,56.77,Communication issues,Hyderabad
6/15/2024,Candidate_692,DevOps Engineer,6,Yes,Yes,B.Tech,170,69.71,42.35,Lack of skills,Bangalore
9/8/2024,Candidate_693,AI/ML Engineer,10,Yes,Yes,B.Tech,150,35.46,52.67,Communication issues,Bangalore
12/4/2024,Candidate_694,Python Fullstack Developer,4,Yes,No,B.Tech,280,38.9,49.85,No experience,Hyderabad
10/15/2024,Candidate_695,Data Analyst,1,No,Yes,BCA,255,62.53,74.11,No experience,Hyderabad
8/16/2024,Candidate_696,Data Analyst,1,No,No,B.Tech,216,43.68,81.24,Communication issues,Bangalore
8/29/2024,Candidate_697,Data Analyst,8,Yes,Yes,MCA,172,33.31,57.22,Lack of skills,Bangalore
12/7/2024,Candidate_698,Python Fullstack Developer,4,Yes,No,B.Tech,141,28.48,79.65,Lack of skills,Bangalore
6/4/2024,Candidate_699,QA Engineer,3,No,No,B.Tech,250,26.13,51.54,Communication issues,Bangalore
7/18/2024,Candidate_700,DevOps Engineer,14,Yes,No,B.Tech,132,25.67,81.41,No experience,Hyderabad
8/25/2024,Candidate_701,Python Fullstack Developer,14,Yes,Yes,B.Tech,182,55.99,62.85,Lack of skills,Bangalore
11/28/2024,Candidate_702,Python Fullstack Developer,13,Yes,No,M.Tech,104,51.57,57.79,No experience,Bangalore
10/29/2024,Candidate_703,Data Analyst,5,Yes,No,M.Tech,131,63.28,85.15,No experience,Bangalore
1/27/2024,Candidate_704,Python Fullstack Developer,10,Yes,No,B.Tech,113,67.24,44.8,Lack of skills,Hyderabad
3/1/2024,Candidate_705,Data Analyst,7,Yes,No,M.Tech,183,52.66,66.86,Communication issues,Chennai
4/22/2024,Candidate_706,AI/ML Engineer,9,Yes,No,MCA,241,56.39,46.6,Lack of skills,Bangalore
10/1/2024,Candidate_707,AI/ML Engineer,5,Yes,Yes,B.Tech,222,31.92,43.55,Communication issues,Chennai
7/27/2024,Candidate_708,Data Analyst,5,Yes,No,B.Tech,194,55.6,41.15,High competition,Chennai
4/15/2024,Candidate_709,QA Engineer,7,Yes,No,B.Tech,136,57.85,48.09,Lack of skills,Bangalore
2/15/2024,Candidate_710,Python Fullstack Developer,2,No,Yes,B.Tech,180,31.88,69.91,Communication issues,Bangalore
9/9/2024,Candidate_711,Python Fullstack Developer,13,Yes,Yes,BCA,284,33.01,60.79,Lack of skills,Chennai
9/13/2024,Candidate_712,Data Analyst,15,Yes,Yes,B.Tech,196,44.3,84.17,Lack of skills,Bangalore
12/11/2024,Candidate_713,Data Analyst,6,Yes,Yes,MCA,240,39.38,74.29,High competition,Hyderabad
7/2/2024,Candidate_714,DevOps Engineer,15,Yes,Yes,B.Tech,106,33.54,77.11,No experience,Hyderabad
6/29/2024,Candidate_715,Data Analyst,14,Yes,Yes,MCA,260,72.94,63.48,Communication issues,Chennai
1/30/2024,Candidate_716,QA Engineer,8,Yes,Yes,BCA,211,71.29,58.91,No experience,Chennai
1/15/2024,Candidate_717,Python Fullstack Developer,0,No,Yes,M.Tech,265,63.4,70.41,Communication issues,Bangalore
6/7/2024,Candidate_718,Python Fullstack Developer,13,Yes,No,M.Tech,182,77.37,83.03,Lack of skills,Bangalore
4/27/2024,Candidate_719,Data Analyst,7,Yes,Yes,B.Tech,201,75.09,47.96,No experience,Hyderabad
4/1/2024,Candidate_720,Data Analyst,7,Yes,No,M.Tech,145,56.71,77.45,Lack of skills,Bangalore
2/3/2024,Candidate_721,Data Analyst,10,Yes,No,B.Tech,183,50.29,66.54,Communication issues,Chennai
12/18/2024,Candidate_722,Python Fullstack Developer,13,Yes,No,B.Tech,256,65.5,45.97,No experience,Chennai
11/1/2024,Candidate_723,Python Fullstack Developer,7,Yes,Yes,B.Tech,294,39.65,79.26,Lack of skills,Bangalore
7/29/2024,Candidate_724,DevOps Engineer,4,Yes,Yes,M.Tech,108,43.36,53.18,No experience,Bangalore
12/13/2024,Candidate_725,Data Analyst,0,No,No,B.Tech,264,47.7,82.11,No experience,Chennai
12/31/2024,Candidate_726,Data Analyst,13,Yes,No,M.Tech,172,50.04,77.09,Lack of skills,Bangalore
9/3/2024,Candidate_727,Python Fullstack Developer,1,No,Yes,M.Tech,182,44.43,81.06,Communication issues,Hyderabad
4/8/2024,Candidate_728,Python Fullstack Developer,1,No,No,B.Tech,244,53.15,43.34,High competition,Chennai
1/15/2024,Candidate_729,DevOps Engineer,15,Yes,Yes,M.Tech,293,71.84,59.35,Lack of skills,Hyderabad
10/3/2024,Candidate_730,Data Analyst,1,No,No,MCA,245,73.51,48.11,Communication issues,Hyderabad
6/21/2024,Candidate_731,Python Fullstack Developer,13,Yes,No,M.Tech,110,20.64,68.37,Communication issues,Bangalore
8/26/2024,Candidate_732,Python Fullstack Developer,12,Yes,Yes,BCA,230,31.09,80.07,Lack of skills,Bangalore
12/1/2024,Candidate_733,Data Analyst,15,Yes,Yes,MCA,114,69.22,50.15,Lack of skills,Hyderabad
3/7/2024,Candidate_734,Data Analyst,3,No,No,M.Tech,285,79.84,45.93,Communication issues,Chennai
8/2/2024,Candidate_735,Data Analyst,14,Yes,Yes,BCA,283,21.76,64.34,Communication issues,Hyderabad
8/20/2024,Candidate_736,QA Engineer,15,Yes,No,B.Tech,282,26.4,65.05,Communication issues,Bangalore
6/28/2024,Candidate_737,Python Fullstack Developer,7,Yes,Yes,B.Tech,133,66.72,58.34,Communication issues,Hyderabad
2/3/2024,Candidate_738,DevOps Engineer,2,No,No,B.Tech,227,26.72,67.86,Lack of skills,Bangalore
5/7/2024,Candidate_739,Data Analyst,0,No,Yes,B.Tech,116,27.67,58.43,Lack of skills,Chennai
5/1/2024,Candidate_740,AI/ML Engineer,13,Yes,No,BCA,117,55.83,82.06,High competition,Chennai
9/2/2024,Candidate_741,DevOps Engineer,6,Yes,Yes,M.Tech,135,75.46,82.07,Lack of skills,Hyderabad
11/9/2024,Candidate_742,Data Analyst,4,Yes,No,B.Tech,138,34.66,85.37,Lack of skills,Hyderabad
4/30/2024,Candidate_743,Data Analyst,11,Yes,No,B.Tech,126,42.64,63.03,High competition,Bangalore
9/10/2024,Candidate_744,AI/ML Engineer,9,Yes,Yes,B.Tech,233,48.34,77.66,High competition,Bangalore
4/15/2024,Candidate_745,DevOps Engineer,7,Yes,No,B.Tech,141,62.17,84.55,No experience,Bangalore
12/11/2024,Candidate_746,DevOps Engineer,2,No,No,BCA,282,35.83,59.16,Communication issues,Bangalore
10/24/2024,Candidate_747,DevOps Engineer,0,No,Yes,B.Tech,160,37.02,75.02,Communication issues,Bangalore
7/20/2024,Candidate_748,Python Fullstack Developer,15,Yes,Yes,MCA,123,78.74,86.49,Lack of skills,Bangalore
6/15/2024,Candidate_749,Python Fullstack Developer,9,Yes,Yes,B.Tech,293,27.18,44.21,Communication issues,Chennai
4/25/2024,Candidate_750,Python Fullstack Developer,5,Yes,Yes,B.Tech,192,63.49,65.61,Communication issues,Bangalore
4/28/2024,Candidate_751,AI/ML Engineer,14,Yes,No,B.Tech,191,44.93,59.69,No experience,Chennai
12/21/2024,Candidate_752,Python Fullstack Developer,0,No,Yes,MCA,186,20.18,58.08,No experience,Bangalore
5/27/2024,Candidate_753,QA Engineer,14,Yes,No,B.Tech,120,57.26,55.16,Communication issues,Bangalore
7/7/2024,Candidate_754,Data Analyst,14,Yes,Yes,B.Tech,205,32.82,54.35,No experience,Bangalore
12/27/2024,Candidate_755,Python Fullstack Developer,4,Yes,Yes,MCA,187,42.07,78.15,Lack of skills,Bangalore
8/28/2024,Candidate_756,Data Analyst,12,Yes,Yes,MCA,292,67.52,52.74,Communication issues,Bangalore
7/17/2024,Candidate_757,Data Analyst,5,Yes,No,B.Tech,117,28.04,72.8,No experience,Chennai
5/31/2024,Candidate_758,AI/ML Engineer,11,Yes,Yes,MCA,226,23.48,62.05,Lack of skills,Chennai
3/9/2024,Candidate_759,Python Fullstack Developer,14,Yes,Yes,B.Tech,202,38.67,61.57,Lack of skills,Bangalore
5/12/2024,Candidate_760,Data Analyst,0,No,Yes,B.Tech,239,24.25,88.98,High competition,Bangalore
10/3/2024,Candidate_761,AI/ML Engineer,2,No,Yes,M.Tech,115,27.39,74.24,Communication issues,Bangalore
8/16/2024,Candidate_762,Data Analyst,12,Yes,No,B.Tech,234,51.56,70.23,No experience,Hyderabad
10/5/2024,Candidate_763,Python Fullstack Developer,10,Yes,Yes,B.Tech,206,66.31,49.43,Communication issues,Chennai
3/15/2024,Candidate_764,AI/ML Engineer,1,No,No,M.Tech,264,37.21,51.24,Communication issues,Chennai
7/20/2024,Candidate_765,QA Engineer,9,Yes,No,B.Tech,201,52.35,60.84,Lack of skills,Bangalore
12/5/2024,Candidate_766,Python Fullstack Developer,13,Yes,No,B.Tech,277,33.55,40.43,Lack of skills,Chennai
6/9/2024,Candidate_767,Python Fullstack Developer,8,Yes,No,B.Tech,139,43.82,72.36,Lack of skills,Bangalore
9/12/2024,Candidate_768,DevOps Engineer,6,Yes,Yes,B.Tech,240,48.64,58.85,Lack of skills,Hyderabad
2/14/2024,Candidate_769,DevOps Engineer,2,No,Yes,M.Tech,122,70.28,62.68,Lack of skills,Hyderabad
12/22/2024,Candidate_770,DevOps Engineer,10,Yes,No,B.Tech,153,55.19,46.47,No experience,Bangalore
8/10/2024,Candidate_771,Data Analyst,1,No,Yes,B.Tech,214,65.39,48.45,Lack of skills,Hyderabad
3/28/2024,Candidate_772,Data Analyst,11,Yes,No,MCA,140,44.44,46.73,Communication issues,Chennai
2/27/2024,Candidate_773,Data Analyst,1,No,Yes,M.Tech,129,30.24,84.1,No experience,Chennai
7/20/2024,Candidate_774,Data Analyst,3,No,Yes,B.Tech,295,63.38,45.87,Lack of skills,Bangalore
7/21/2024,Candidate_775,DevOps Engineer,12,Yes,Yes,MCA,166,76.5,54.78,Lack of skills,Chennai
2/4/2024,Candidate_776,AI/ML Engineer,11,Yes,Yes,MCA,158,56.39,47.34,Communication issues,Chennai
12/29/2024,Candidate_777,Data Analyst,14,Yes,No,MCA,161,50.35,50.82,Lack of skills,Bangalore
11/30/2024,Candidate_778,Python Fullstack Developer,1,No,No,B.Tech,114,24.41,60.55,No experience,Bangalore
6/17/2024,Candidate_779,Data Analyst,11,Yes,Yes,B.Tech,265,47.08,46.87,High competition,Bangalore
2/12/2024,Candidate_780,Data Analyst,11,Yes,No,M.Tech,274,40.11,81.44,Communication issues,Hyderabad
10/31/2024,Candidate_781,Data Analyst,5,Yes,No,MCA,242,45.1,57.18,Lack of skills,Chennai
7/1/2024,Candidate_782,AI/ML Engineer,2,No,Yes,BCA,106,25.53,72.73,No experience,Bangalore
9/19/2024,Candidate_783,Data Analyst,6,Yes,No,B.Tech,113,76.03,74.77,Lack of skills,Bangalore
7/5/2024,Candidate_784,AI/ML Engineer,4,Yes,Yes,B.Tech,264,61.73,53.33,Lack of skills,Chennai
4/10/2024,Candidate_785,Data Analyst,10,Yes,No,BCA,278,71.44,47.57,Communication issues,Bangalore
11/1/2024,Candidate_786,Data Analyst,7,Yes,Yes,BCA,157,37.64,73.96,Communication issues,Hyderabad
12/24/2024,Candidate_787,Data Analyst,3,No,No,B.Tech,222,51.18,82.51,Lack of skills,Chennai
3/30/2024,Candidate_788,DevOps Engineer,15,Yes,No,B.Tech,110,44.43,71.81,No experience,Bangalore
7/20/2024,Candidate_789,Python Fullstack Developer,6,Yes,Yes,B.Tech,110,64.83,87.75,Lack of skills,Bangalore
5/20/2024,Candidate_790,DevOps Engineer,7,Yes,Yes,M.Tech,156,69.77,66.69,High competition,Bangalore
12/3/2024,Candidate_791,Python Fullstack Developer,10,Yes,Yes,B.Tech,294,57.83,64.65,No experience,Bangalore
7/5/2024,Candidate_792,QA Engineer,11,Yes,No,BCA,159,66.68,89.32,Communication issues,Bangalore
11/17/2024,Candidate_793,Data Analyst,8,Yes,No,BCA,139,40.25,87.52,No experience,Bangalore
11/12/2024,Candidate_794,DevOps Engineer,13,Yes,No,M.Tech,135,49.54,70.88,No experience,Bangalore
4/11/2024,Candidate_795,Python Fullstack Developer,8,Yes,Yes,B.Tech,228,43.73,77,High competition,Hyderabad
10/16/2024,Candidate_796,DevOps Engineer,1,No,No,B.Tech,181,46.12,86.52,Lack of skills,Hyderabad
5/31/2024,Candidate_797,Data Analyst,2,No,Yes,M.Tech,182,67.44,47.38,Lack of skills,Chennai
12/7/2024,Candidate_798,Data Analyst,11,Yes,No,M.Tech,199,22.78,52.01,Lack of skills,Hyderabad
7/4/2024,Candidate_799,Data Analyst,11,Yes,No,B.Tech,293,61.62,55.56,Communication issues,Hyderabad
10/27/2024,Candidate_800,DevOps Engineer,14,Yes,No,BCA,262,26.99,81.03,High competition,Bangalore
4/13/2024,Candidate_801,Data Analyst,15,Yes,Yes,MCA,271,27.73,44.23,Lack of skills,Bangalore
4/19/2024,Candidate_802,Data Analyst,3,No,No,B.Tech,201,66.82,70.04,No experience,Bangalore
8/2/2024,Candidate_803,Python Fullstack Developer,15,Yes,No,B.Tech,104,21.08,74.13,Lack of skills,Hyderabad
12/31/2024,Candidate_804,Python Fullstack Developer,9,Yes,No,M.Tech,230,22.53,53.18,No experience,Chennai
6/28/2024,Candidate_805,QA Engineer,14,Yes,No,B.Tech,295,31.58,50.05,No experience,Chennai
2/24/2024,Candidate_806,Python Fullstack Developer,11,Yes,No,MCA,174,79.42,56.94,Communication issues,Chennai
7/16/2024,Candidate_807,Data Analyst,2,No,Yes,B.Tech,226,51.22,51.97,Lack of skills,Chennai
5/6/2024,Candidate_808,AI/ML Engineer,6,Yes,No,M.Tech,106,32.19,46.7,No experience,Bangalore
7/21/2024,Candidate_809,AI/ML Engineer,14,Yes,Yes,B.Tech,271,43.44,88.28,Communication issues,Chennai
7/17/2024,Candidate_810,Python Fullstack Developer,2,No,No,B.Tech,282,73.07,89.47,No experience,Chennai
6/15/2024,Candidate_811,Python Fullstack Developer,2,No,No,MCA,278,25.3,87.36,Lack of skills,Chennai
4/27/2024,Candidate_812,Data Analyst,12,Yes,Yes,M.Tech,206,72.27,88.71,Lack of skills,Bangalore
3/10/2024,Candidate_813,Python Fullstack Developer,5,Yes,Yes,M.Tech,240,21.64,49.33,Lack of skills,Chennai
9/12/2024,Candidate_814,Data Analyst,9,Yes,Yes,B.Tech,117,29.24,58.28,Communication issues,Bangalore
7/28/2024,Candidate_815,Data Analyst,2,No,Yes,B.Tech,110,47.34,42.88,No experience,Bangalore
3/26/2024,Candidate_816,AI/ML Engineer,3,No,No,M.Tech,151,39.22,66.58,Communication issues,Bangalore
10/10/2024,Candidate_817,Data Analyst,5,Yes,No,MCA,250,64.71,51.25,Communication issues,Bangalore
1/16/2024,Candidate_818,AI/ML Engineer,8,Yes,Yes,MCA,109,26,53.04,No experience,Bangalore
9/29/2024,Candidate_819,Python Fullstack Developer,3,No,Yes,B.Tech,153,30.53,50.12,Lack of skills,Hyderabad
9/15/2024,Candidate_820,AI/ML Engineer,4,Yes,No,MCA,158,33.12,80.76,Lack of skills,Bangalore
10/23/2024,Candidate_821,Data Analyst,15,Yes,Yes,B.Tech,249,73.85,80.45,Lack of skills,Bangalore
5/21/2024,Candidate_822,Python Fullstack Developer,4,Yes,Yes,MCA,225,41.35,52.04,Communication issues,Chennai
8/30/2024,Candidate_823,Python Fullstack Developer,6,Yes,Yes,B.Tech,101,69.04,43.93,No experience,Bangalore
10/27/2024,Candidate_824,Python Fullstack Developer,0,No,No,B.Tech,189,50.54,81.72,Communication issues,Chennai
12/24/2024,Candidate_825,QA Engineer,9,Yes,Yes,MCA,279,31,82.42,High competition,Chennai
6/30/2024,Candidate_826,Data Analyst,13,Yes,No,B.Tech,120,54.32,66.45,Communication issues,Bangalore
1/14/2024,Candidate_827,Data Analyst,4,Yes,No,MCA,248,49.12,60.28,No experience,Hyderabad
7/2/2024,Candidate_828,Data Analyst,15,Yes,Yes,B.Tech,194,70.85,58.69,No experience,Chennai
8/4/2024,Candidate_829,Data Analyst,11,Yes,Yes,MCA,230,45.47,75.94,Lack of skills,Bangalore
11/14/2024,Candidate_830,Data Analyst,13,Yes,No,M.Tech,142,53.68,58.49,Lack of skills,Bangalore
11/15/2024,Candidate_831,Data Analyst,14,Yes,No,MCA,201,74.15,63.35,No experience,Hyderabad
6/10/2024,Candidate_832,DevOps Engineer,0,No,Yes,B.Tech,154,57.27,76.39,Lack of skills,Hyderabad
